Country,Life satisfaction,GDP per capita (USD)
Turkey,5.5,28384.9877846263
Spain,6.3,28388.0126546931
Ireland,7.0,28478.7259339516
Portugal,5.4,28525.5174324377
Lithuania,5.9,28589.0266601627
Greece,5.4,28645.0436174422
Latvia,5.9,28650.0077575999
Poland,6.1,28682.6939326326
Estonia,5.7,28798.4026229086
Slovenia,5.9,28809.9058278013
New Zealand,7.3,28891.0439543187
Israel,7.2,28986.2039958294
Spain,6.3,29042.3441443907
Estonia,5.7,29139.5270164549
Greece,5.4,29150.6944922443
Greece,5.4,29186.324547399
Finland,7.6,29310.3070704183
Israel,7.2,29366.7720783497
Hungary,5.6,29465.1262413898
Portugal,5.4,29472.7098799307
Estonia,5.7,29616.6905059021
Estonia,5.7,29637.087377055
Finland,7.6,29648.7439434243
Spain,6.3,29691.0967966209
Greece,5.4,29723.2219580446
New Zealand,7.3,29815.7861879047
Israel,7.2,29845.8916421087
Lithuania,5.9,29855.8314910326
Israel,7.2,29911.3863825917
Latvia,5.9,29932.4939100562
Israel,7.2,29994.6000812612
Ireland,7.0,29999.4248880648
United Kingdom,6.8,30035.8935201602
Latvia,5.9,30036.0865499334
Portugal,5.4,30042.8907185982
Slovenia,5.9,30046.5293242893
Poland,6.1,30064.5034841771
United Kingdom,6.8,30074.9200794193
Israel,7.2,30117.8814843124
Portugal,5.4,30156.7015822628
Greece,5.4,30234.5959617275
Australia,7.3,30298.9290163388
Finland,7.6,30340.8238404135
Greece,5.4,30372.7605650238
Portugal,5.4,30383.1378175177
New Zealand,7.3,30409.0906623468
Portugal,5.4,30422.6020285721
Portugal,5.4,30444.6002091947
United Kingdom,6.8,30464.9885569295
Australia,7.3,30542.9197143586
New Zealand,7.3,30599.323192519
Estonia,5.7,30602.5954941753
Israel,7.2,30621.9629389651
New Zealand,7.3,30627.8046248469
Spain,6.3,30661.6548336809
Israel,7.2,30715.580461218
Lithuania,5.9,30748.1963109529
United Kingdom,6.8,30749.9247568394
Portugal,5.4,30756.0189546063
Portugal,5.4,30823.8490440796
Finland,7.6,30831.6088058571
Latvia,5.9,30858.750074744
Portugal,5.4,30892.8198811263
Hungary,5.6,31007.7684065437
Australia,7.3,31058.2596709541
Portugal,5.4,31076.6441205289
Hungary,5.6,31095.557503677
Portugal,5.4,31118.7906703279
Estonia,5.7,31121.1197640419
Slovenia,5.9,31133.7151910898
Estonia,5.7,31146.7545222679
Australia,7.3,31213.0798529168
Israel,7.2,31239.0068599514
Portugal,5.4,31269.4104613004
Portugal,5.4,31304.8155263075
Greece,5.4,31305.6936704984
Israel,7.2,31416.9385084502
Finland,7.6,31499.80577579
Portugal,5.4,31524.7495680309
Poland,6.1,31674.1316243417
Portugal,5.4,31798.1538079411
Portugal,5.4,31847.5377347647
United Kingdom,6.8,31851.3770601255
Spain,6.3,31876.4395902943
Lithuania,5.9,31925.8034212317
Sweden,7.3,32086.0126428301
New Zealand,7.3,32098.1462840981
Australia,7.3,32114.830840244
Estonia,5.7,32130.3008763844
Japan,5.9,32168.764113869
Portugal,5.4,32181.1545372343
Poland,6.1,32238.157259275
Slovenia,5.9,32239.0845573446
Portugal,5.4,32251.5690977426
Portugal,5.4,32307.912767932
Israel,7.2,32408.3917854463
Finland,7.6,32548.0151553704
Hungary,5.6,32553.5236997988
United Kingdom,6.8,32571.4677887113
Slovenia,5.9,32618.6088809723
Ireland,7.0,32721.5038383175
Slovenia,5.9,32817.8881074677
New Zealand,7.3,32837.0978861822
Finland,7.6,32939.3832880618
Australia,7.3,32946.9006734039
Sweden,7.3,32953.6182903423
Japan,5.9,33015.2765732281
Greece,5.4,33040.7682982488
Portugal,5.4,33044.7167387479
Slovenia,5.9,33057.4147493548
Slovenia,5.9,33098.9441619924
Sweden,7.3,33110.8255761839
Poland,6.1,33120.517844588
Japan,5.9,33137.7031110698
Spain,6.3,33173.117195796
Japan,5.9,33250.1785096792
Japan,5.9,33294.9160384119
United Kingdom,6.8,33298.1281607991
Slovenia,5.9,33355.8476287757
Sweden,7.3,33536.0149056118
Israel,7.2,33568.5936626863
Slovenia,5.9,33573.3355082877
Israel,7.2,33666.1433274048
Iceland,7.5,33666.2115335801
France,6.5,33732.0142120651
Greece,5.4,33753.6177475922
Lithuania,5.9,33761.871239796
New Zealand,7.3,33775.232657194
Australia,7.3,33778.0635392223
Slovenia,5.9,33805.030045384
Estonia,5.7,33856.1811147559
France,6.5,33897.2314368104
France,6.5,33905.8822631981
Canada,7.4,34034.4551755858
Portugal,5.4,34040.7255617749
Israel,7.2,34065.412547897
Japan,5.9,34081.8984230205
Sweden,7.3,34156.8202971425
Sweden,7.3,34233.7027776288
France,6.5,34268.5421707858
Finland,7.6,34506.7718790729
France,6.5,34576.5438089748
Greece,5.4,34627.1806747136
Canada,7.4,34697.0905797393
Japan,5.9,34706.7046517895
Sweden,7.3,34719.1107469171
Australia,7.3,34727.1997827083
Greece,5.4,34732.6440722251
New Zealand,7.3,34745.1653253583
Spain,6.3,34757.615021513
Israel,7.2,34800.2474731642
Ireland,7.0,34856.4693885326
Japan,5.9,34857.9583681175
Slovenia,5.9,34858.5119502257
United Kingdom,6.8,34864.8968331317
Portugal,5.4,34879.7059746537
Slovenia,5.9,34912.8471788592
Iceland,7.5,35014.2313439182
Japan,5.9,35058.8036557201
France,6.5,35177.6589424847
Estonia,5.7,35208.0239637019
Japan,5.9,35351.7188395142
Spain,6.3,35371.7398181963
Lithuania,5.9,35427.4618636641
Belgium,6.9,35506.2392661362
France,6.5,35548.6285199543
Japan,5.9,35611.8039052511
New Zealand,7.3,35616.1147057703
Japan,5.9,35629.5985944656
Estonia,5.7,35638.4213511812
Japan,5.9,35670.454934897
Israel,7.2,35743.5386114596
Greece,5.4,35756.2455188034
Sweden,7.3,35764.6847640308
Spain,6.3,35769.4600345792
Canada,7.4,35782.6902642664
Spain,6.3,35874.7529283016
Belgium,6.9,35935.2618401675
Australia,7.3,35940.0171358725
Israel,7.2,35942.7148394678
Spain,6.3,35968.6201369865
Belgium,6.9,36022.9870333569
United Kingdom,6.8,36052.3952866888
Japan,5.9,36080.5172267957
Slovenia,5.9,36081.1286420955
Japan,5.9,36096.7743799502
Spain,6.3,36215.4475907307
France,6.5,36250.6889604497
Finland,7.6,36293.3915600144
Spain,6.3,36337.5551952878
Belgium,6.9,36426.2880979906
Netherlands,7.4,36461.4190196424
New Zealand,7.3,36504.1974620148
Slovenia,5.9,36505.6772178798
Slovenia,5.9,36547.7389559849
Italy,6.0,36585.6799028741
Greece,5.4,36585.8395603871
Germany,7.0,36645.4103412106
Lithuania,5.9,36732.034744031
Iceland,7.5,36732.9355616566
Spain,6.3,36750.4418480689
Israel,7.2,36759.8414522889
Estonia,5.7,36830.0747898819
Japan,5.9,36880.1787997665
Spain,6.3,36884.2592434253
Belgium,6.9,36980.7331576015
Netherlands,7.4,37057.5831275013
Lithuania,5.9,37062.5867515036
Italy,6.0,37065.4341248987
United Kingdom,6.8,37116.4394859688
Italy,6.0,37122.8219323764
Canada,7.4,37194.3956032859
Spain,6.3,37249.7735119425
Sweden,7.3,37286.0953943757
New Zealand,7.3,37293.2137650567
Canada,7.4,37309.6497953194
Spain,6.3,37319.4762230353
Australia,7.3,37334.4752293048
Spain,6.3,37377.068016704
Netherlands,7.4,37405.9299673421
Italy,6.0,37407.1113238593
France,6.5,37413.4393609485
Spain,6.3,37430.6785045715
Austria,7.1,37440.8371224764
Greece,5.4,37461.5387708945
Israel,7.2,37474.8491839878
Japan,5.9,37489.8533695016
New Zealand,7.3,37505.0482758471
Israel,7.2,37554.5986562961
Japan,5.9,37586.1671466567
Japan,5.9,37612.3883122255
Netherlands,7.4,37613.2521936233
New Zealand,7.3,37657.1432046716
Greece,5.4,37687.4333370451
Belgium,6.9,37783.418562422
Finland,7.6,37795.0577604714
Italy,6.0,37855.0077387082
New Zealand,7.3,37902.7517600146
New Zealand,7.3,37933.1514651725
Spain,6.3,37963.3658355296
Slovenia,5.9,37968.3520620285
Japan,5.9,37998.1233384906
Germany,7.0,38049.0880729596
Japan,5.9,38141.9339734818
Canada,7.4,38169.1063580352
Belgium,6.9,38207.9791308757
New Zealand,7.3,38214.4745352226
Israel,7.2,38234.7244825066
Japan,5.9,38235.7450407572
Germany,7.0,38237.7340607357
United Kingdom,6.8,38280.8002708435
Ireland,7.0,38309.5775569065
Israel,7.2,38341.3075704083
Australia,7.3,38343.002147534
Austria,7.1,38344.6538588312
Spain,6.3,38477.5791805612
Netherlands,7.4,38494.2178517725
France,6.5,38494.9468158477
Australia,7.3,38559.9041923683
Japan,5.9,38582.3221861155
Austria,7.1,38603.2585486016
Germany,7.0,38677.8680960784
New Zealand,7.3,38687.8461497115
Austria,7.1,38718.93304962
Germany,7.0,38824.2827705785
Israel,7.2,38833.9734252986
Sweden,7.3,38839.4262714954
New Zealand,7.3,38857.1158931412
Spain,6.3,38858.4710684887
Slovenia,5.9,38905.5478569196
Italy,6.0,38947.2013118497
Italy,6.0,38992.1483807498
Iceland,7.5,39017.4376817623
Denmark,7.6,39027.9787365148
Japan,5.9,39056.8698066267
United Kingdom,6.8,39174.8900239894
Spain,6.3,39240.3951876123
Japan,5.9,39255.278446443
Canada,7.4,39268.2124283808
Germany,7.0,39308.0884160853
Austria,7.1,39378.7061153852
Israel,7.2,39418.3453068224
Italy,6.0,39429.4955552037
Denmark,7.6,39469.3228084159
Netherlands,7.4,39498.1368221301
Germany,7.0,39510.3038787611
Spain,6.3,39520.8222657597
Spain,6.3,39528.9253872668
Belgium,6.9,39561.6072371458
New Zealand,7.3,39599.1882952181
Australia,7.3,39616.3360972665
France,6.5,39732.2824515749
Japan,5.9,39777.5310167672
United States,6.9,39831.5856925435
United Kingdom,6.8,39859.3138065232
Finland,7.6,39894.1944569685
Italy,6.0,39898.5264609826
Denmark,7.6,39979.7573849561
Israel,7.2,40007.3191584114
Japan,5.9,40031.270764058
Iceland,7.5,40103.865986755
Denmark,7.6,40108.8919453015
Italy,6.0,40129.9018819235
Germany,7.0,40159.5902438183
France,6.5,40226.6270677305
Italy,6.0,40247.8290437942
Belgium,6.9,40251.6898056164
Italy,6.0,40268.1127892773
Australia,7.3,40298.8860528145
Spain,6.3,40312.5475864011
Austria,7.1,40367.4710458506
France,6.5,40388.6256508389
United States,6.9,40411.1603398638
Canada,7.4,40426.2313340311
New Zealand,7.3,40432.2414789733
France,6.5,40433.4900386568
Sweden,7.3,40625.3620520538
United States,6.9,40666.7005788686
Netherlands,7.4,40691.8903167389
Spain,6.3,40805.9169678996
Italy,6.0,40837.7376281437
Finland,7.6,40842.3417724243
Italy,6.0,40844.745605278
Germany,7.0,40962.1737598441
Japan,5.9,40966.5932189946
United Kingdom,6.8,40992.0720379492
New Zealand,7.3,41086.1153021682
Sweden,7.3,41103.7264589774
Japan,5.9,41182.3802046593
Ireland,7.0,41220.7845498669
United States,6.9,41238.7826060853
Austria,7.1,41260.1714020034
France,6.5,41272.6323754944
Japan,5.9,41380.0935773113
Finland,7.6,41439.019233448
Australia,7.3,41449.8419535385
Italy,6.0,41501.7112309705
Italy,6.0,41501.788369041
Iceland,7.5,41530.5173238278
France,6.5,41546.4905796298
United Kingdom,6.8,41558.3008322127
Italy,6.0,41581.120790548
Belgium,6.9,41582.292537444
United Kingdom,6.8,41627.129269425
France,6.5,41643.9888864457
New Zealand,7.3,41672.1012399483
United Kingdom,6.8,41691.3885018648
Germany,7.0,41708.2702746412
Sweden,7.3,41870.2591560099
Denmark,7.6,41969.6887111547
France,6.5,42025.6173730617
Canada,7.4,42046.8695832654
Italy,6.0,42052.5563822519
Italy,6.0,42074.9212455091
Austria,7.1,42076.2876519581
United Kingdom,6.8,42089.0136357977
Norway,7.6,42136.6162635665
France,6.5,42147.6716766942
Finland,7.6,42168.6934671901
Australia,7.3,42217.136349705
Netherlands,7.4,42235.4890688287
New Zealand,7.3,42285.319902666
United Kingdom,6.8,42294.1204630137
France,6.5,42367.5698646841
United States,6.9,42377.3555142458
New Zealand,7.3,42404.3937381567
Iceland,7.5,42484.5161077418
United Kingdom,6.8,42601.828409576
Iceland,7.5,42626.9230684437
United Kingdom,6.8,42629.9482187521
Italy,6.0,42662.5223699096
Italy,6.0,42664.3552727925
Sweden,7.3,42678.2841388566
Australia,7.3,42761.4056075413
France,6.5,42790.6328838388
France,6.5,42816.2714819044
France,6.5,42864.0189689606
Germany,7.0,42864.9328892862
New Zealand,7.3,42866.1272276586
New Zealand,7.3,42877.9429107086
Italy,6.0,42892.3055641948
France,6.5,42996.2097818165
United States,6.9,42999.7887136753
Denmark,7.6,43015.6775097607
France,6.5,43021.3946358903
Belgium,6.9,43023.30716339
Germany,7.0,43025.9877312919
Italy,6.0,43053.93306429
Iceland,7.5,43095.3568616423
France,6.5,43127.2128556843
Norway,7.6,43229.9297551282
United Kingdom,6.8,43242.5676679488
France,6.5,43345.7864281559
Belgium,6.9,43347.0501969365
Germany,7.0,43353.3388942422
Canada,7.4,43358.1823908414
United Kingdom,6.8,43457.7017735188
Germany,7.0,43512.43267398
Austria,7.1,43535.4217533188
Germany,7.0,43541.0326202312
United Kingdom,6.8,43670.4145844224
France,6.5,43705.1475593257
Finland,7.6,43724.9661225981
Italy,6.0,43781.2199783421
Italy,6.0,43869.4279411713
Germany,7.0,43884.5352789987
Belgium,6.9,43889.7485927091
Italy,6.0,43915.385340484
Netherlands,7.4,43933.5681069516
Canada,7.4,44003.6170419636
Denmark,7.6,44013.3855851544
United States,6.9,44105.8274590707
Italy,6.0,44118.0366368665
Australia,7.3,44128.727085347
United Kingdom,6.8,44138.5205042745
United Kingdom,6.8,44154.1056092436
Belgium,6.9,44160.0566799357
Italy,6.0,44260.8274173515
Sweden,7.3,44354.3910620977
Norway,7.6,44517.449551772
France,6.5,44577.0645745394
Italy,6.0,44623.6020153057
Finland,7.6,44662.100140396
Australia,7.3,44771.4842140369
Finland,7.6,44786.9096643071
Australia,7.3,44835.3614074555
United Kingdom,6.8,44840.7826443684
Canada,7.4,44861.5239641879
Italy,6.0,44918.1703531499
Finland,7.6,44976.7764487708
Germany,7.0,44978.1198711897
Australia,7.3,44991.7837148741
Austria,7.1,44996.0545966818
Ireland,7.0,45040.9981197336
Finland,7.6,45072.5902146238
France,6.5,45251.9054105957
Denmark,7.6,45260.1371186812
United Kingdom,6.8,45268.7304537314
Finland,7.6,45328.5753218041
Italy,6.0,45356.5367193485
Sweden,7.3,45440.2967492535
Australia,7.3,45463.6819958564
Sweden,7.3,45492.768174936
Norway,7.6,45512.4043620457
United States,6.9,45516.0023303908
Belgium,6.9,45539.5854609401
Germany,7.0,45610.7818923168
United Kingdom,6.8,45744.7104907571
Canada,7.4,45822.5964338567
France,6.5,45834.1669122703
Netherlands,7.4,45839.1314634489
Canada,7.4,45851.6302484565
Canada,7.4,45856.6256264804
Finland,7.6,45874.6613021399
Canada,7.4,45888.4763265252
Finland,7.6,45952.246383366
United Kingdom,6.8,46037.9005384222
Iceland,7.5,46051.74388765
Denmark,7.6,46096.3697234041
Canada,7.4,46126.5138859002
Finland,7.6,46206.7878130494
Belgium,6.9,46341.2896407062
Austria,7.1,46403.2776992589
United Kingdom,6.8,46406.4617483484
Finland,7.6,46412.2003478176
Australia,7.3,46427.3681999004
Canada,7.4,46704.7622355677
Austria,7.1,46811.746772924
Australia,7.3,46814.7415105804
Finland,7.6,46825.8248388831
Germany,7.0,46929.9934093156
United States,6.9,47004.6141333405
Germany,7.0,47031.2137894261
Belgium,6.9,47063.8790649801
Belgium,6.9,47211.6639573888
Finland,7.6,47260.800458441
Australia,7.3,47289.9646101072
Sweden,7.3,47292.3136933265
Denmark,7.6,47298.5373518437
Austria,7.1,47351.3346982706
Netherlands,7.4,47422.2034047837
Canada,7.4,47457.5853457244
Iceland,7.5,47457.6229185836
Canada,7.4,47522.1406673151
Norway,7.6,47541.781485856
Canada,7.4,47564.609109622
Austria,7.1,47564.8638976916
Finland,7.6,47570.133583848
Germany,7.0,47573.0273603862
Australia,7.3,47636.319641906
Sweden,7.3,47791.3715245947
Netherlands,7.4,47806.8844286609
Netherlands,7.4,47958.3319661157
Sweden,7.3,47963.4937520407
Belgium,6.9,47971.6303134944
Iceland,7.5,48104.6518132004
Finland,7.6,48130.2923921114
Belgium,6.9,48153.9390923805
Netherlands,7.4,48160.7843668965
Iceland,7.5,48186.1672876621
Australia,7.3,48197.431189174
Belgium,6.9,48203.6526833001
Belgium,6.9,48209.991519122
Belgium,6.9,48210.0331113444
Sweden,7.3,48300.8425001578
Canada,7.4,48317.0965785817
Belgium,6.9,48422.5782305146
Iceland,7.5,48440.2550840897
Sweden,7.3,48462.1600029489
Australia,7.3,48482.6474614392
Sweden,7.3,48557.3843477247
Austria,7.1,48563.5886574222
Netherlands,7.4,48586.7046242077
Belgium,6.9,48589.4600517703
Ireland,7.0,48628.4511384221
Finland,7.6,48664.265707071
United States,6.9,48676.6590175622
Finland,7.6,48689.2341509211
Australia,7.3,48697.8370282475
Belgium,6.9,48747.6770466387
Iceland,7.5,48770.9503367158
Canada,7.4,48796.8137814007
Finland,7.6,48817.989492787
Denmark,7.6,48907.0114021027
Sweden,7.3,48947.4393112155
Canada,7.4,49006.7431073981
Denmark,7.6,49133.2231026505
Australia,7.3,49151.6887104846
Denmark,7.6,49204.8990055345
Sweden,7.3,49258.9961639539
Norway,7.6,49260.9848316016
Denmark,7.6,49262.6449732556
Austria,7.1,49316.2647023136
Belgium,6.9,49455.4413365318
Australia,7.3,49455.5385080697
Netherlands,7.4,49467.4354267059
Germany,7.0,49684.6130740715
Germany,7.0,49798.9676727479
Belgium,6.9,49828.9629137518
Germany,7.0,49880.5735214304
Iceland,7.5,49956.8486452996
Denmark,7.6,50114.0500523227
United States,6.9,50124.8911771197
United States,6.9,50126.7202222598
Iceland,7.5,50168.6885349698
Ireland,7.0,50401.8202970703
Belgium,6.9,50442.2705419623
Denmark,7.6,50446.5416048985
Iceland,7.5,50450.7416120996
United States,6.9,50528.7885768372
Sweden,7.3,50683.3235097178
Austria,7.1,50767.8484448075
Germany,7.0,50770.6134878236
Denmark,7.6,50825.4122929358
Germany,7.0,50922.3580234484
Sweden,7.3,50928.962975552
Austria,7.1,50957.6063796813
Germany,7.0,51083.9216615196
Netherlands,7.4,51097.3626113331
Belgium,6.9,51110.9584679336
Denmark,7.6,51216.309409926
Denmark,7.6,51293.2061782002
Sweden,7.3,51334.4320301641
Norway,7.6,51476.2152139198
Denmark,7.6,51479.2664533017
Denmark,7.6,51483.273786293
United States,6.9,51529.7264039287
Netherlands,7.4,51607.6057272318
Netherlands,7.4,51640.0766862304
Belgium,6.9,51742.7263830791
Austria,7.1,51769.1455641151
Germany,7.0,51803.2354226767
Netherlands,7.4,51860.0559942119
Austria,7.1,51935.6038618156
Sweden,7.3,51947.9542478244
Netherlands,7.4,52032.9865022429
Denmark,7.6,52048.3354927846
Iceland,7.5,52142.9328074888
Netherlands,7.4,52186.9973861206
Iceland,7.5,52279.7288513646
Sweden,7.3,52349.2924275599
Ireland,7.0,52483.4823820031
Austria,7.1,52489.7572106205
Sweden,7.3,52531.1743768398
Netherlands,7.4,52594.2290064164
Austria,7.1,52798.0994607541
Iceland,7.5,52827.0101225049
Austria,7.1,52857.0563215416
Denmark,7.6,52892.6460290247
Netherlands,7.4,52909.9697572206
Austria,7.1,52921.8171022969
Germany,7.0,52952.8750212389
Netherlands,7.4,52974.1162200949
Denmark,7.6,52982.5317373493
United States,6.9,52994.5519602027
Iceland,7.5,52999.4375361804
Ireland,7.0,53077.386996912
Austria,7.1,53089.8763414956
Austria,7.1,53102.950844304
Ireland,7.0,53184.8832221364
Austria,7.1,53221.0786648309
Austria,7.1,53269.3062047537
Denmark,7.6,53322.2889991783
United States,6.9,53399.3656316179
Germany,7.0,53463.4014817389
Denmark,7.6,53569.0280238008
Germany,7.0,53639.26072156
Ireland,7.0,53653.7347728881
Ireland,7.0,53725.033597612
Ireland,7.0,53812.7947341444
Netherlands,7.4,53847.8265545448
Netherlands,7.4,53848.2522316971
Norway,7.6,53903.4545735364
Switzerland,7.5,53929.8585175625
Ireland,7.0,54026.7560325486
Switzerland,7.5,54078.9523123655
Switzerland,7.5,54106.5708566646
Austria,7.1,54169.9639937065
Switzerland,7.5,54181.0025661726
Denmark,7.6,54185.0084787703
Netherlands,7.4,54209.5638357302
United States,6.9,54315.9124805391
United States,6.9,54353.0685764315
Switzerland,7.5,54491.9003501515
Iceland,7.5,54665.7639158138
United States,6.9,54758.8332734292
Norway,7.6,54989.719823037
Netherlands,7.4,55088.6338006744
Switzerland,7.5,55120.114761489
Switzerland,7.5,55201.2047714786
United States,6.9,55271.6574674784
Austria,7.1,55297.6182880367
Denmark,7.6,55356.680780178
United States,6.9,55368.3597189657
United States,6.9,55581.4138435205
Iceland,7.5,55638.4920591796
Norway,7.6,55713.7732048443
Ireland,7.0,55763.260487446
Austria,7.1,55833.3156857561
United States,6.9,55873.2447409949
Denmark,7.6,55938.2128086032
Netherlands,7.4,56060.9136269404
United States,6.9,56214.4286771294
Denmark,7.6,56281.2888680368
Switzerland,7.5,56329.2156537801
Ireland,7.0,56485.699245268
Netherlands,7.4,56629.110793233
Iceland,7.5,56722.1193741156
Switzerland,7.5,56724.5051705921
Iceland,7.5,56913.9568467085
Norway,7.6,57127.3997508609
United States,6.9,57213.2678405623
Switzerland,7.5,57440.0535738178
Denmark,7.6,57678.0988930692
Ireland,7.0,57691.5616452959
Norway,7.6,58018.329457927
Ireland,7.0,58267.4122658082
United States,6.9,58540.2960929977
Norway,7.6,58540.8636369314
Norway,7.6,58728.1752425985
Ireland,7.0,58960.2155924038
Switzerland,7.5,59022.3524143811
United States,6.9,59112.2422096532
Switzerland,7.5,59389.4240602209
Switzerland,7.5,59489.7480583928
Switzerland,7.5,59944.7769214821
United States,6.9,60109.6557260477
United States,6.9,60235.7284916969
Switzerland,7.5,60271.9324146596
Ireland,7.0,60326.6541545205
Norway,7.6,60699.5854473669
Norway,7.6,61157.1489347399
Norway,7.6,61353.4963937525
United States,6.9,61585.7560382102
Switzerland,7.5,61613.3910520748
Norway,7.6,61689.5777152826
Norway,7.6,61870.3837851071
Norway,7.6,61878.9944110006
Norway,7.6,61990.7116232878
Norway,7.6,62390.1497031613
